# NDA Review Playbook

| Code | Section Number | Sort Order | Type | Name | Description | AI Instructions | Combined String |
|------|----------------|------------|------|------|-------------|-----------------|-----------------|
| 1 | 1 | 1 | Section Header | Parties and Basic Information | Review of fundamental agreement structure and party identification | Analyze the basic structure and parties to the NDA | 1. Section Header: Parties and Basic Information |
| 1.1 | 1 | 2 | Review Criteria | Party Identification | Verify that all parties are clearly identified with full legal names and addresses | Check if all parties are clearly identified with complete legal names and business addresses. Look for any ambiguous party references or missing contact information. | 1.1. Review Criteria: Check if all parties are clearly identified with complete legal names and business addresses. Look for any ambiguous party references or missing contact information. - [YES/NO] |
| 1.2 | 1 | 3 | Review Criteria | Effective Date and Term | Confirm the agreement has a clear effective date and defined term or duration | Verify that the NDA specifies a clear effective date and has a defined term (duration) or states if it's perpetual. Flag any ambiguous timing provisions. | 1.2. Review Criteria: Verify that the NDA specifies a clear effective date and has a defined term (duration) or states if it's perpetual. Flag any ambiguous timing provisions. - [YES/NO] |
| 1.3 | 1 | 4 | Review Criteria | Purpose Statement | Ensure the business purpose for sharing confidential information is clearly stated | Confirm there is a clear statement of the business purpose or transaction for which confidential information will be shared. Flag vague or overly broad purpose statements. | 1.3. Review Criteria: Confirm there is a clear statement of the business purpose or transaction for which confidential information will be shared. Flag vague or overly broad purpose statements. - [YES/NO] |
| 2 | 2 | 5 | Section Header | Confidential Information Definition and Scope | Analysis of how confidential information is defined and what is included/excluded | Review the definition and scope of what constitutes confidential information under the agreement | 2. Section Header: Confidential Information Definition and Scope |
| 2.1 | 2 | 6 | Review Criteria | Definition Breadth | Assess whether the definition of confidential information is appropriately scoped | Evaluate if the confidential information definition is reasonable in scope - not overly broad but adequate for protection. Check for inclusion of both written and oral information, technical data, business information, etc. | 2.1. Review Criteria: Evaluate if the confidential information definition is reasonable in scope - not overly broad but adequate for protection. Check for inclusion of both written and oral information, technical data, business information, etc. - [YES/NO] |
| 2.2 | 2 | 7 | Review Criteria | Marking Requirements | Review requirements for marking or identifying confidential information | Check if there are reasonable requirements for marking confidential information and whether oral disclosures are adequately covered (e.g., confirmed in writing within specified timeframe). | 2.2. Review Criteria: Check if there are reasonable requirements for marking confidential information and whether oral disclosures are adequately covered (e.g., confirmed in writing within specified timeframe). - [YES/NO] |
| 2.3 | 2 | 8 | Review Criteria | Standard Exclusions | Verify presence of standard exclusions from confidential information | Confirm the agreement includes standard exclusions: publicly available information, independently developed information, information received from third parties without breach, and information known prior to disclosure. | 2.3. Review Criteria: Confirm the agreement includes standard exclusions: publicly available information, independently developed information, information received from third parties without breach, and information known prior to disclosure. - [YES/NO] |
| 2.4 | 2 | 9 | Review Criteria | Residuals Clause | Check for and evaluate any residuals clause | Determine if there is a residuals clause that allows use of general knowledge, skills, and experience retained in memory. Assess if this creates unacceptable risks for proprietary information. | 2.4. Review Criteria: Determine if there is a residuals clause that allows use of general knowledge, skills, and experience retained in memory. Assess if this creates unacceptable risks for proprietary information. - [YES/NO] |
| 3 | 3 | 10 | Section Header | Obligations and Restrictions | Review of recipient's duties and limitations on use of confidential information | Analyze the obligations placed on the receiving party and restrictions on information use | 3. Section Header: Obligations and Restrictions |
| 3.1 | 3 | 11 | Review Criteria | Use Restrictions | Evaluate limitations on how confidential information may be used | Verify that confidential information use is limited to the stated business purpose only. Check that the agreement prohibits use for any other purpose, including competitive analysis. | 3.1. Review Criteria: Verify that confidential information use is limited to the stated business purpose only. Check that the agreement prohibits use for any other purpose, including competitive analysis. - [YES/NO] |
| 3.2 | 3 | 12 | Review Criteria | Disclosure Limitations | Review restrictions on further disclosure to third parties | Confirm that disclosure to third parties is prohibited except for employees/advisors with need-to-know and who are bound by similar confidentiality obligations. Check for any overly permissive disclosure provisions. | 3.2. Review Criteria: Confirm that disclosure to third parties is prohibited except for employees/advisors with need-to-know and who are bound by similar confidentiality obligations. Check for any overly permissive disclosure provisions. - [YES/NO] |
| 3.3 | 3 | 13 | Review Criteria | Standard of Care | Assess the required level of care for protecting confidential information | Verify that the recipient must use at least reasonable care (preferably the same degree of care used for their own confidential information) to protect the disclosed information. | 3.3. Review Criteria: Verify that the recipient must use at least reasonable care (preferably the same degree of care used for their own confidential information) to protect the disclosed information. - [YES/NO] |
| 3.4 | 3 | 14 | Review Criteria | Return/Destruction Obligation | Review requirements for return or destruction of confidential information | Confirm there are clear obligations to return or destroy confidential information upon request or termination of discussions, with reasonable timeframes specified. | 3.4. Review Criteria: Confirm there are clear obligations to return or destroy confidential information upon request or termination of discussions, with reasonable timeframes specified. - [YES/NO] |
| 3.5 | 3 | 15 | Review Criteria | Legal Disclosure Exception | Check for appropriate exceptions for legally required disclosures | Verify there is an exception allowing disclosure when required by law, court order, or government regulation, preferably with notice requirements to allow the disclosing party to seek protective measures. | 3.5. Review Criteria: Verify there is an exception allowing disclosure when required by law, court order, or government regulation, preferably with notice requirements to allow the disclosing party to seek protective measures. - [YES/NO] |
